Geography,Industry,Year,Industry GDP (current C$),Industry GDP (2012 chained C$)
New Brunswick,Durable manufacturing industries,2017,968.0,919.6
New Brunswick,Durable manufacturing industries,2018,0.0,939.1
New Brunswick,Durable manufacturing industries,2019,0.0,962.5
New Brunswick,Information and communication technology sector,2010,945.9,968.8
New Brunswick,Information and communication technology sector,2011,1023.0,1024.3
New Brunswick,Information and communication technology sector,2012,1017.0,1017.0
New Brunswick,Information and communication technology sector,2013,977.0,948.7
New Brunswick,Information and communication technology sector,2014,990.3,963.0
New Brunswick,Information and communication technology sector,2015,998.1,980.9
New Brunswick,Information and communication technology sector,2016,1064.8,1026.5
New Brunswick,Information and communication technology sector,2017,1154.9,1068.3
New Brunswick,Information and communication technology sector,2018,0.0,1105.9
New Brunswick,Information and communication technology sector,2019,0.0,1134.2
New Brunswick,Energy sector,2010,1454.4,1770.0
New Brunswick,Energy sector,2011,1627.5,1706.1
New Brunswick,Energy sector,2012,1603.0,1603.0
New Brunswick,Energy sector,2013,1680.1,1731.6
New Brunswick,Energy sector,2014,1556.0,1677.1
New Brunswick,Energy sector,2015,1922.6,1677.2
New Brunswick,Energy sector,2016,1700.6,1686.4
New Brunswick,Energy sector,2017,1527.8,1687.1
New Brunswick,Energy sector,2018,0.0,1589.1
New Brunswick,Energy sector,2019,0.0,1729.2
New Brunswick,Public sector,2010,7448.1,8006.8
New Brunswick,Public sector,2011,7815.0,8012.3
New Brunswick,Public sector,2012,7987.3,7987.3
New Brunswick,Public sector,2013,8269.6,7916.8
New Brunswick,Public sector,2014,8409.2,7879.6
New Brunswick,Public sector,2015,8441.6,7818.4
New Brunswick,Public sector,2016,8763.7,7869.6
New Brunswick,Public sector,2017,8999.7,7940.8
New Brunswick,Public sector,2018,0.0,8099.7
New Brunswick,Public sector,2019,0.0,8269.5
New Brunswick,Cannabis sector,2010,57.5,59.5
New Brunswick,Cannabis sector,2011,60.7,61.9
New Brunswick,Cannabis sector,2012,68.5,68.5
New Brunswick,Cannabis sector,2013,73.7,74.3
New Brunswick,Cannabis sector,2014,74.5,80.2
New Brunswick,Cannabis sector,2015,75.5,88.2
New Brunswick,Cannabis sector,2016,75.4,92.6
New Brunswick,Cannabis sector,2017,68.0,90.7
New Brunswick,Cannabis sector,2018,0.0,95.9
New Brunswick,Cannabis sector,2019,0.0,87.6
New Brunswick,Agriculture forestry fishing and hunting,2010,744.9,822.6
New Brunswick,Agriculture forestry fishing and hunting,2011,716.4,783.9
New Brunswick,Agriculture forestry fishing and hunting,2012,826.1,826.1
New Brunswick,Agriculture forestry fishing and hunting,2013,783.6,847.0
New Brunswick,Agriculture forestry fishing and hunting,2014,880.3,899.8
New Brunswick,Agriculture forestry fishing and hunting,2015,996.4,959.9
New Brunswick,Agriculture forestry fishing and hunting,2016,1126.6,989.1
New Brunswick,Agriculture forestry fishing and hunting,2017,1249.8,1022.8
New Brunswick,Agriculture forestry fishing and hunting,2018,0.0,977.9
New Brunswick,Agriculture forestry fishing and hunting,2019,0.0,1001.7
New Brunswick,Mining quarrying and oil and gas extraction,2010,725.4,878.6
New Brunswick,Mining quarrying and oil and gas extraction,2011,880.8,863.0
New Brunswick,Mining quarrying and oil and gas extraction,2012,789.6,789.6
New Brunswick,Mining quarrying and oil and gas extraction,2013,404.8,476.4
New Brunswick,Mining quarrying and oil and gas extraction,2014,348.3,362.4
New Brunswick,Mining quarrying and oil and gas extraction,2015,387.3,457.8
New Brunswick,Mining quarrying and oil and gas extraction,2016,293.6,373.3
New Brunswick,Mining quarrying and oil and gas extraction,2017,321.5,400.5
New Brunswick,Mining quarrying and oil and gas extraction,2018,0.0,377.4
New Brunswick,Mining quarrying and oil and gas extraction,2019,0.0,319.0
New Brunswick,Utilities,2010,736.7,915.4
New Brunswick,Utilities,2011,874.0,916.4
New Brunswick,Utilities,2012,863.7,863.7
New Brunswick,Utilities,2013,933.6,1057.2
New Brunswick,Utilities,2014,1023.2,1168.9
New Brunswick,Utilities,2015,960.4,1135.2
New Brunswick,Utilities,2016,951.6,1162.8
New Brunswick,Utilities,2017,1012.7,1153.6
New Brunswick,Utilities,2018,0.0,1155.8
New Brunswick,Utilities,2019,0.0,1296.3
New Brunswick,Construction,2010,2065.0,2160.8
New Brunswick,Construction,2011,2097.0,2191.0
New Brunswick,Construction,2012,2009.8,2009.8
New Brunswick,Construction,2013,1831.7,1787.6
New Brunswick,Construction,2014,1837.9,1796.2
New Brunswick,Construction,2015,1906.1,1838.9
New Brunswick,Construction,2016,1970.1,1913.4
New Brunswick,Construction,2017,2225.1,2152.7
New Brunswick,Construction,2018,0.0,2310.8
New Brunswick,Construction,2019,0.0,2167.8
New Brunswick,Manufacturing,2010,2787.1,3002.8
New Brunswick,Manufacturing,2011,2872.7,2987.9
New Brunswick,Manufacturing,2012,2909.1,2909.1
New Brunswick,Manufacturing,2013,2944.3,3027.9
New Brunswick,Manufacturing,2014,2812.5,2903.0
New Brunswick,Manufacturing,2015,3277.5,2968.1
New Brunswick,Manufacturing,2016,3119.4,2990.8
New Brunswick,Manufacturing,2017,3074.9,3029.3
New Brunswick,Manufacturing,2018,0.0,2892.4
New Brunswick,Manufacturing,2019,0.0,2951.6
New Brunswick,Wholesale trade,2010,1174.0,1220.1
New Brunswick,Wholesale trade,2011,1114.6,1164.6
New Brunswick,Wholesale trade,2012,1068.2,1068.2
New Brunswick,Wholesale trade,2013,1067.3,1113.0
New Brunswick,Wholesale trade,2014,1028.2,1056.5
New Brunswick,Wholesale trade,2015,1019.4,1029.8
New Brunswick,Wholesale trade,2016,1012.4,1009.5
New Brunswick,Wholesale trade,2017,1050.2,1023.4
New Brunswick,Wholesale trade,2018,0.0,983.2
New Brunswick,Wholesale trade,2019,0.0,1030.0
New Brunswick,Retail trade,2010,1857.6,1777.0
New Brunswick,Retail trade,2011,1841.5,1748.4
New Brunswick,Retail trade,2012,1711.4,1711.4
New Brunswick,Retail trade,2013,1735.3,1789.4
New Brunswick,Retail trade,2014,1835.0,1839.5
New Brunswick,Retail trade,2015,1897.7,1832.6
New Brunswick,Retail trade,2016,1906.0,1845.6
New Brunswick,Retail trade,2017,2045.9,1924.5
New Brunswick,Retail trade,2018,0.0,1928.2
New Brunswick,Retail trade,2019,0.0,1949.9
New Brunswick,Transportation and warehousing,2010,1317.9,1400.0
New Brunswick,Transportation and warehousing,2011,1339.2,1387.7
New Brunswick,Transportation and warehousing,2012,1376.0,1376.0
New Brunswick,Transportation and warehousing,2013,1441.7,1414.6
New Brunswick,Transportation and warehousing,2014,1492.7,1439.0
New Brunswick,Transportation and warehousing,2015,1538.8,1443.3
New Brunswick,Transportation and warehousing,2016,1632.1,1506.4
New Brunswick,Transportation and warehousing,2017,1713.0,1581.3
New Brunswick,Transportation and warehousing,2018,0.0,1487.3
New Brunswick,Transportation and warehousing,2019,0.0,1505.5
New Brunswick,Information and cultural industries,2010,820.7,854.2
New Brunswick,Information and cultural industries,2011,869.8,873.9
New Brunswick,Information and cultural industries,2012,880.6,880.6
New Brunswick,Information and cultural industries,2013,912.4,858.1
New Brunswick,Information and cultural industries,2014,924.8,862.1
New Brunswick,Information and cultural industries,2015,894.7,857.0
New Brunswick,Information and cultural industries,2016,899.9,867.9
New Brunswick,Information and cultural industries,2017,922.4,872.4
New Brunswick,Information and cultural industries,2018,0.0,896.4
New Brunswick,Information and cultural industries,2019,0.0,890.4
New Brunswick,Finance and insurance,2010,1402.8,1429.7
New Brunswick,Finance and insurance,2011,1487.7,1467.4
New Brunswick,Finance and insurance,2012,1501.4,1501.4
New Brunswick,Finance and insurance,2013,1539.7,1504.3
New Brunswick,Finance and insurance,2014,1631.2,1516.7
New Brunswick,Finance and insurance,2015,1668.2,1544.7
New Brunswick,Finance and insurance,2016,1723.4,1585.7
New Brunswick,Finance and insurance,2017,1858.5,1675.8
New Brunswick,Finance and insurance,2018,0.0,1682.1
New Brunswick,Finance and insurance,2019,0.0,1698.0
New Brunswick,Real estate and rental and leasing,2010,3211.0,3290.1
New Brunswick,Real estate and rental and leasing,2011,3356.5,3385.1
New Brunswick,Real estate and rental and leasing,2012,3499.9,3499.9
New Brunswick,Real estate and rental and leasing,2013,3586.8,3550.1
New Brunswick,Real estate and rental and leasing,2014,3655.6,3623.0
New Brunswick,Real estate and rental and leasing,2015,3767.2,3694.4
New Brunswick,Real estate and rental and leasing,2016,3918.4,3767.1
New Brunswick,Real estate and rental and leasing,2017,4026.0,3847.7
New Brunswick,Real estate and rental and leasing,2018,0.0,3933.1
New Brunswick,Real estate and rental and leasing,2019,0.0,3969.8
New Brunswick,Professional scientific and technical services,2010,898.1,922.9
New Brunswick,Professional scientific and technical services,2011,960.3,967.1
New Brunswick,Professional scientific and technical services,2012,979.7,979.7
New Brunswick,Professional scientific and technical services,2013,984.5,944.0
New Brunswick,Professional scientific and technical services,2014,971.1,953.2
New Brunswick,Professional scientific and technical services,2015,1007.7,960.8
New Brunswick,Professional scientific and technical services,2016,1050.9,953.0
New Brunswick,Professional scientific and technical services,2017,1084.0,964.0
New Brunswick,Professional scientific and technical services,2018,0.0,1009.6
New Brunswick,Professional scientific and technical services,2019,0.0,1028.9
New Brunswick,Management of companies and enterprises,2010,122.3,132.5
New Brunswick,Management of companies and enterprises,2011,140.2,146.7
New Brunswick,Management of companies and enterprises,2012,143.6,143.6
New Brunswick,Management of companies and enterprises,2013,144.0,148.3
New Brunswick,Management of companies and enterprises,2014,139.1,137.0
New Brunswick,Management of companies and enterprises,2015,134.5,134.0
New Brunswick,Management of companies and enterprises,2016,111.1,114.2
New Brunswick,Management of companies and enterprises,2017,99.3,109.5
New Brunswick,Management of companies and enterprises,2018,0.0,92.8
New Brunswick,Management of companies and enterprises,2019,0.0,75.5
New Brunswick,Administrative and support waste management and remediation services,2010,1121.6,1249.5
New Brunswick,Administrative and support waste management and remediation services,2011,1193.5,1202.4
New Brunswick,Administrative and support waste management and remediation services,2012,1202.1,1202.1
New Brunswick,Administrative and support waste management and remediation services,2013,1212.9,1156.7
New Brunswick,Administrative and support waste management and remediation services,2014,1265.7,1188.0
New Brunswick,Administrative and support waste management and remediation services,2015,1294.8,1188.3
New Brunswick,Administrative and support waste management and remediation services,2016,1265.1,1168.6
New Brunswick,Administrative and support waste management and remediation services,2017,1244.0,1104.7
New Brunswick,Administrative and support waste management and remediation services,2018,0.0,1093.5
New Brunswick,Administrative and support waste management and remediation services,2019,0.0,1069.7
New Brunswick,Educational services,2010,1713.4,1811.5
New Brunswick,Educational services,2011,1798.8,1818.0
New Brunswick,Educational services,2012,1825.8,1825.8
New Brunswick,Educational services,2013,1868.1,1823.8
New Brunswick,Educational services,2014,1890.5,1832.1
New Brunswick,Educational services,2015,1890.8,1816.6
New Brunswick,Educational services,2016,1996.6,1828.0
New Brunswick,Educational services,2017,1977.9,1819.0
New Brunswick,Educational services,2018,0.0,1847.8
New Brunswick,Educational services,2019,0.0,1880.8
New Brunswick,Health care and social assistance,2010,2599.1,2857.0
New Brunswick,Health care and social assistance,2011,2706.9,2833.1
New Brunswick,Health care and social assistance,2012,2796.5,2796.5
New Brunswick,Health care and social assistance,2013,2873.3,2775.2
New Brunswick,Health care and social assistance,2014,2927.5,2766.2
New Brunswick,Health care and social assistance,2015,3012.9,2751.7
New Brunswick,Health care and social assistance,2016,3152.8,2790.3
New Brunswick,Health care and social assistance,2017,3228.1,2816.0
New Brunswick,Health care and social assistance,2018,0.0,2865.0
New Brunswick,Health care and social assistance,2019,0.0,2953.4
New Brunswick,Arts entertainment and recreation,2010,197.1,182.3
New Brunswick,Arts entertainment and recreation,2011,197.7,188.8
New Brunswick,Arts entertainment and recreation,2012,191.1,191.1
New Brunswick,Arts entertainment and recreation,2013,180.6,189.6
New Brunswick,Arts entertainment and recreation,2014,175.1,178.8
New Brunswick,Arts entertainment and recreation,2015,152.4,156.0
New Brunswick,Arts entertainment and recreation,2016,153.7,151.8
New Brunswick,Arts entertainment and recreation,2017,162.3,160.1
New Brunswick,Arts entertainment and recreation,2018,0.0,164.6
New Brunswick,Arts entertainment and recreation,2019,0.0,167.9
New Brunswick,Accommodation and food services,2010,591.5,608.1
New Brunswick,Accommodation and food services,2011,595.4,607.8
New Brunswick,Accommodation and food services,2012,600.6,600.6
New Brunswick,Accommodation and food services,2013,598.4,584.6
New Brunswick,Accommodation and food services,2014,619.2,595.7
New Brunswick,Accommodation and food services,2015,665.4,637.3
New Brunswick,Accommodation and food services,2016,742.7,651.2
New Brunswick,Accommodation and food services,2017,759.7,643.4
New Brunswick,Accommodation and food services,2018,0.0,650.5
New Brunswick,Accommodation and food services,2019,0.0,668.4
New Brunswick,Other services (except public administration),2010,531.1,553.3
New Brunswick,Other services (except public administration),2011,556.2,568.5
New Brunswick,Other services (except public administration),2012,577.1,577.1
New Brunswick,Other services (except public administration),2013,594.7,591.8
New Brunswick,Other services (except public administration),2014,600.7,592.2
New Brunswick,Other services (except public administration),2015,592.5,574.7
New Brunswick,Other services (except public administration),2016,581.4,561.3
New Brunswick,Other services (except public administration),2017,607.6,580.3
New Brunswick,Other services (except public administration),2018,0.0,588.1
New Brunswick,Other services (except public administration),2019,0.0,597.1
New Brunswick,Public administration,2010,3135.6,3351.2
New Brunswick,Public administration,2011,3309.3,3380.1
New Brunswick,Public administration,2012,3364.9,3364.9
New Brunswick,Public administration,2013,3528.2,3317.6
New Brunswick,Public administration,2014,3591.2,3282.2
New Brunswick,Public administration,2015,3537.9,3251.0
New Brunswick,Public administration,2016,3614.3,3251.9
New Brunswick,Public administration,2017,3793.7,3305.5
New Brunswick,Public administration,2018,0.0,3386.2
New Brunswick,Public administration,2019,0.0,3434.2
Quebec,All industries,2010,306664.5,317802.1
Quebec,All industries,2011,321047.4,324565.7
Quebec,All industries,2012,328855.5,328854.6
Quebec,All industries,2013,338213.8,333047.8
Quebec,All industries,2014,348098.5,338319.0
Quebec,All industries,2015,357758.8,341688.0
Quebec,All industries,2016,368634.6,347197.7
Quebec,All industries,2017,386407.5,357097.0
Quebec,All industries,2018,0.0,367980.1
Quebec,All industries,2019,0.0,377811.3
Quebec,Goods-producing industries,2010,87351.7,88251.9
Quebec,Goods-producing industries,2011,91784.5,90847.8
Quebec,Goods-producing industries,2012,92374.4,92374.5
Quebec,Goods-producing industries,2013,92445.2,91498.2
Quebec,Goods-producing industries,2014,94169.9,92900.0
Quebec,Goods-producing industries,2015,97787.2,94099.2
Quebec,Goods-producing industries,2016,98953.9,94153.6
Quebec,Goods-producing industries,2017,104648.7,97677.7
Quebec,Goods-producing industries,2018,0.0,101505.0
Quebec,Goods-producing industries,2019,0.0,104003.8
Quebec,Service-producing industries,2010,219312.8,229578.0
Quebec,Service-producing industries,2011,229262.9,233726.4
Quebec,Service-producing industries,2012,236481.2,236481.6
Quebec,Service-producing industries,2013,245768.6,241571.8
Quebec,Service-producing industries,2014,253928.6,245439.8
Quebec,Service-producing industries,2015,259971.6,247611.8
Quebec,Service-producing industries,2016,269680.7,253049.9
Quebec,Service-producing industries,2017,281758.7,259436.6
Quebec,Service-producing industries,2018,0.0,266496.6
Quebec,Service-producing industries,2019,0.0,273829.3
Quebec,Industrial production,2010,61361.0,61403.0
Quebec,Industrial production,2011,63971.5,62859.4
Quebec,Industrial production,2012,62936.4,62936.3
Quebec,Industrial production,2013,63411.8,62802.1
Quebec,Industrial production,2014,65350.1,65533.2
Quebec,Industrial production,2015,68308.6,66401.5
Quebec,Industrial production,2016,69409.4,66555.0
Quebec,Industrial production,2017,73250.5,68699.6
Quebec,Industrial production,2018,0.0,71593.7
Quebec,Industrial production,2019,0.0,73189.0
Quebec,Non-durable manufacturing industries,2010,20631.2,20361.6
Quebec,Non-durable manufacturing industries,2011,20093.4,19691.2
Quebec,Non-durable manufacturing industries,2012,19542.9,19543.0
Quebec,Non-durable manufacturing industries,2013,18656.0,18654.5
Quebec,Non-durable manufacturing industries,2014,19440.9,19524.2
Quebec,Non-durable manufacturing industries,2015,21561.4,20008.7
Quebec,Non-durable manufacturing industries,2016,22030.8,20148.0
Quebec,Non-durable manufacturing industries,2017,22196.1,20298.4
Quebec,Non-durable manufacturing industries,2018,0.0,20616.5
Quebec,Non-durable manufacturing industries,2019,0.0,20794.8
Quebec,Durable manufacturing industries,2010,23921.8,24537.1
Quebec,Durable manufacturing industries,2011,25814.5,25841.5
Quebec,Durable manufacturing industries,2012,26089.0,26088.9
Quebec,Durable manufacturing industries,2013,26450.6,26103.3
Quebec,Durable manufacturing industries,2014,27724.1,26834.2
Quebec,Durable manufacturing industries,2015,28823.9,26717.6
Quebec,Durable manufacturing industries,2016,28722.6,26344.7
Quebec,Durable manufacturing industries,2017,31351.5,27710.4
Quebec,Durable manufacturing industries,2018,0.0,29194.4
Quebec,Durable manufacturing industries,2019,0.0,30354.1
Quebec,Information and communication technology sector,2010,13965.2,14517.1
Quebec,Information and communication technology sector,2011,15035.7,15442.9
Quebec,Information and communication technology sector,2012,15449.2,15449.1
Quebec,Information and communication technology sector,2013,15766.4,16341.1
Quebec,Information and communication technology sector,2014,16072.8,16399.2
Quebec,Information and communication technology sector,2015,16111.6,16515.0
Quebec,Information and communication technology sector,2016,16793.4,17223.1
Quebec,Information and communication technology sector,2017,18479.6,18602.8
Quebec,Information and communication technology sector,2018,0.0,19415.5
Quebec,Information and communication technology sector,2019,0.0,20363.7
Quebec,Energy sector,2010,12795.5,11820.8
Quebec,Energy sector,2011,13084.3,12016.4
Quebec,Energy sector,2012,12016.6,12016.6
Quebec,Energy sector,2013,12818.7,12066.3
Quebec,Energy sector,2014,13503.0,12463.4
Quebec,Energy sector,2015,14882.8,12813.5
Quebec,Energy sector,2016,14787.8,12952.7
Quebec,Energy sector,2017,14240.5,13033.9
Quebec,Energy sector,2018,0.0,13316.8
Quebec,Energy sector,2019,0.0,13305.5
Quebec,Public sector,2010,67216.8,71689.3
Quebec,Public sector,2011,70615.4,72193.8
Quebec,Public sector,2012,72695.6,72695.6
Quebec,Public sector,2013,76278.9,73559.9
Quebec,Public sector,2014,78905.5,74228.6
Quebec,Public sector,2015,81059.3,74545.6
Quebec,Public sector,2016,83855.9,75603.1
Quebec,Public sector,2017,86869.5,76640.8
Quebec,Public sector,2018,0.0,78668.8
Quebec,Public sector,2019,0.0,80771.1
Quebec,Cannabis sector,2010,1180.2,1228.1
Quebec,Cannabis sector,2011,1215.2,1238.7
Quebec,Cannabis sector,2012,1299.0,1299.0
Quebec,Cannabis sector,2013,1365.8,1391.7
Quebec,Cannabis sector,2014,1366.6,1489.3
Quebec,Cannabis sector,2015,1368.6,1626.9
Quebec,Cannabis sector,2016,1366.8,1708.4
Quebec,Cannabis sector,2017,1244.9,1682.2
Quebec,Cannabis sector,2018,0.0,1959.9
Quebec,Cannabis sector,2019,0.0,2090.7
Quebec,Agriculture forestry fishing and hunting,2010,5510.2,6142.7
Quebec,Agriculture forestry fishing and hunting,2011,5887.3,6092.9
Quebec,Agriculture forestry fishing and hunting,2012,6032.5,6032.5
Quebec,Agriculture forestry fishing and hunting,2013,5897.4,6546.8
Quebec,Agriculture forestry fishing and hunting,2014,6164.1,6474.5
Quebec,Agriculture forestry fishing and hunting,2015,6332.3,6940.4
Quebec,Agriculture forestry fishing and hunting,2016,6405.5,7168.1
Quebec,Agriculture forestry fishing and hunting,2017,6700.4,7174.4
Quebec,Agriculture forestry fishing and hunting,2018,0.0,7280.4
Quebec,Agriculture forestry fishing and hunting,2019,0.0,7552.3
Quebec,Mining quarrying and oil and gas extraction,2010,4536.3,4600.8
Quebec,Mining quarrying and oil and gas extraction,2011,5675.8,5000.7
Quebec,Mining quarrying and oil and gas extraction,2012,4963.4,4963.4
Quebec,Mining quarrying and oil and gas extraction,2013,5089.3,5570.4
Quebec,Mining quarrying and oil and gas extraction,2014,4509.3,6483.4
Quebec,Mining quarrying and oil and gas extraction,2015,3926.1,7014.4
Quebec,Mining quarrying and oil and gas extraction,2016,4434.7,7072.1
Quebec,Mining quarrying and oil and gas extraction,2017,5460.2,7579.8
Quebec,Mining quarrying and oil and gas extraction,2018,0.0,8492.5
Quebec,Mining quarrying and oil and gas extraction,2019,0.0,8595.8
Quebec,Utilities,2010,11433.1,11068.5
Quebec,Utilities,2011,11555.0,11463.7
Quebec,Utilities,2012,11415.5,11415.6
Quebec,Utilities,2013,12180.6,11531.3
Quebec,Utilities,2014,12557.1,11807.4
Quebec,Utilities,2015,12853.9,11982.4
Quebec,Utilities,2016,13022.8,12242.0
Quebec,Utilities,2017,12987.5,12408.7
Quebec,Utilities,2018,0.0,12760.2
Quebec,Utilities,2019,0.0,12797.0
Quebec,Construction,2010,21319.1,21555.5
Quebec,Construction,2011,22758.6,22730.5
Quebec,Construction,2012,24330.9,24331.0
Quebec,Construction,2013,24171.4,23143.3
Quebec,Construction,2014,23774.4,21964.9
Quebec,Construction,2015,24289.6,21865.6
Quebec,Construction,2016,24337.5,21680.8
Quebec,Construction,2017,25953.0,23048.1
Quebec,Construction,2018,0.0,23883.7
Quebec,Construction,2019,0.0,24601.5
Quebec,Manufacturing,2010,44553.0,44898.3
Quebec,Manufacturing,2011,45907.9,45534.0
Quebec,Manufacturing,2012,45631.9,45631.8
Quebec,Manufacturing,2013,45106.6,44738.7
Quebec,Manufacturing,2014,47165.1,46340.1
Quebec,Manufacturing,2015,50385.3,46701.8
Quebec,Manufacturing,2016,50753.3,46467.7
Quebec,Manufacturing,2017,53547.6,47990.8
Quebec,Manufacturing,2018,0.0,49804.1
Quebec,Manufacturing,2019,0.0,51150.7
Quebec,Wholesale trade,2010,16658.0,16964.7
Quebec,Wholesale trade,2011,17035.0,17156.5
Quebec,Wholesale trade,2012,17066.5,17066.6
Quebec,Wholesale trade,2013,18182.5,18021.6
Quebec,Wholesale trade,2014,19139.3,18581.9
Quebec,Wholesale trade,2015,19268.6,18113.5
Quebec,Wholesale trade,2016,20156.3,18188.6
Quebec,Wholesale trade,2017,21090.7,18687.8
Quebec,Wholesale trade,2018,0.0,19340.5
Quebec,Wholesale trade,2019,0.0,20075.8
Quebec,Retail trade,2010,17913.1,18680.2
Quebec,Retail trade,2011,18172.9,18789.5
Quebec,Retail trade,2012,18826.6,18826.6
Quebec,Retail trade,2013,19712.1,19792.8
Quebec,Retail trade,2014,19888.6,19815.0
Quebec,Retail trade,2015,20520.0,20034.1
Quebec,Retail trade,2016,21656.6,20946.7
Quebec,Retail trade,2017,22350.2,21238.0
Quebec,Retail trade,2018,0.0,21747.9
Quebec,Retail trade,2019,0.0,21828.3
Quebec,Transportation and warehousing,2010,11971.5,12699.7
Quebec,Transportation and warehousing,2011,12634.8,13047.0
Quebec,Transportation and warehousing,2012,13198.4,13198.4
Quebec,Transportation and warehousing,2013,13955.0,13303.5
Quebec,Transportation and warehousing,2014,14747.8,13835.3
Quebec,Transportation and warehousing,2015,15215.3,14182.5
Quebec,Transportation and warehousing,2016,16141.8,14811.4
Quebec,Transportation and warehousing,2017,17262.4,15510.9
Quebec,Transportation and warehousing,2018,0.0,16165.6
Quebec,Transportation and warehousing,2019,0.0,16556.4
Quebec,Information and cultural industries,2010,9976.4,10267.0
Quebec,Information and cultural industries,2011,10351.6,10595.2
Quebec,Information and cultural industries,2012,10673.7,10673.7
Quebec,Information and cultural industries,2013,10465.3,10735.7
Quebec,Information and cultural industries,2014,10170.4,10585.9
Quebec,Information and cultural industries,2015,10504.7,10898.1
Quebec,Information and cultural industries,2016,10615.4,11106.9
Quebec,Information and cultural industries,2017,11199.7,11539.0
Quebec,Information and cultural industries,2018,0.0,11798.2
Quebec,Information and cultural industries,2019,0.0,12287.7
Quebec,Finance and insurance,2010,18022.0,17992.6
Quebec,Finance and insurance,2011,18703.5,18331.0
Quebec,Finance and insurance,2012,18625.5,18625.4
Quebec,Finance and insurance,2013,19278.1,19289.7
Quebec,Finance and insurance,2014,20232.5,19429.5
Quebec,Finance and insurance,2015,20922.3,20330.7
Quebec,Finance and insurance,2016,21387.2,21015.2
Quebec,Finance and insurance,2017,23014.9,22512.2
Quebec,Finance and insurance,2018,0.0,23048.4
Quebec,Finance and insurance,2019,0.0,23639.9
Quebec,Real estate and rental and leasing,2010,33308.2,34381.4
Quebec,Real estate and rental and leasing,2011,34749.3,35201.9
Quebec,Real estate and rental and leasing,2012,36218.9,36219.0
Quebec,Real estate and rental and leasing,2013,37407.4,37171.8
Quebec,Real estate and rental and leasing,2014,38623.0,37947.7
Quebec,Real estate and rental and leasing,2015,40165.6,38817.8
Quebec,Real estate and rental and leasing,2016,41709.5,39594.8
Quebec,Real estate and rental and leasing,2017,43192.4,40478.5
Quebec,Real estate and rental and leasing,2018,0.0,41484.3
Quebec,Real estate and rental and leasing,2019,0.0,42476.4
Quebec,Professional scientific and technical services,2010,16939.9,18010.0
Quebec,Professional scientific and technical services,2011,18414.7,19035.4
Quebec,Professional scientific and technical services,2012,19443.4,19443.4
Quebec,Professional scientific and technical services,2013,20180.7,19952.0
Quebec,Professional scientific and technical services,2014,21098.8,20599.2
Quebec,Professional scientific and technical services,2015,20606.1,20297.0
Quebec,Professional scientific and technical services,2016,21934.6,21433.4
Quebec,Professional scientific and technical services,2017,23370.2,22211.9
Quebec,Professional scientific and technical services,2018,0.0,23144.3
Quebec,Professional scientific and technical services,2019,0.0,24516.7
Quebec,Management of companies and enterprises,2010,2109.8,2338.7
Quebec,Management of companies and enterprises,2011,2332.4,2392.0
Quebec,Management of companies and enterprises,2012,2401.1,2401.1
Quebec,Management of companies and enterprises,2013,2506.8,2601.9
Quebec,Management of companies and enterprises,2014,2493.4,2427.4
Quebec,Management of companies and enterprises,2015,2372.4,2348.9
Quebec,Management of companies and enterprises,2016,2072.5,2030.2
Quebec,Management of companies and enterprises,2017,1823.3,1837.0
Quebec,Management of companies and enterprises,2018,0.0,1707.5
Quebec,Management of companies and enterprises,2019,0.0,1432.2
Quebec,Administrative and support waste management and remediation services,2010,8643.9,9180.5
Quebec,Administrative and support waste management and remediation services,2011,9157.6,9339.9
Quebec,Administrative and support waste management and remediation services,2012,9627.8,9627.8
Quebec,Administrative and support waste management and remediation services,2013,10044.0,9765.2
Quebec,Administrative and support waste management and remediation services,2014,10365.8,9922.6
Quebec,Administrative and support waste management and remediation services,2015,10463.2,9715.0
Quebec,Administrative and support waste management and remediation services,2016,10655.8,9694.2
Quebec,Administrative and support waste management and remediation services,2017,11106.5,9811.9
Quebec,Administrative and support waste management and remediation services,2018,0.0,9937.2
Quebec,Administrative and support waste management and remediation services,2019,0.0,10200.6
Quebec,Educational services,2010,18208.2,19528.7
Quebec,Educational services,2011,19165.8,19595.2
Quebec,Educational services,2012,19759.1,19759.2
Quebec,Educational services,2013,20561.4,20145.0
Quebec,Educational services,2014,21366.6,20583.6
Quebec,Educational services,2015,22063.9,20735.7
Quebec,Educational services,2016,23004.0,20846.9
Quebec,Educational services,2017,23682.7,21155.9
Quebec,Educational services,2018,0.0,21654.1
Quebec,Educational services,2019,0.0,22268.2
Quebec,Health care and social assistance,2010,25382.1,26791.7
Quebec,Health care and social assistance,2011,26530.1,26910.2
Quebec,Health care and social assistance,2012,27324.3,27324.4
Quebec,Health care and social assistance,2013,28830.8,27781.9
Quebec,Health care and social assistance,2014,30042.1,28121.6
Quebec,Health care and social assistance,2015,31093.3,28307.1
Quebec,Health care and social assistance,2016,32290.1,28880.0
Quebec,Health care and social assistance,2017,33178.2,29118.3
Quebec,Health care and social assistance,2018,0.0,30002.1
Quebec,Health care and social assistance,2019,0.0,30761.9
Quebec,Arts entertainment and recreation,2010,2684.1,2879.2
Quebec,Arts entertainment and recreation,2011,2747.2,2861.6
Quebec,Arts entertainment and recreation,2012,2882.4,2882.4
Quebec,Arts entertainment and recreation,2013,2861.3,2875.9
Quebec,Arts entertainment and recreation,2014,2910.6,2968.1
