"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Current dollars","Chained (2012) dollars 9"
,,"2013","1,240.8","1,223.5"
,,"2014","1,229.5","1,227.6"
,,"2015","1,270.2","1,299.9"
,,"2016","1,254.5","1,355.6"
,,"2017","1,261.3","1,372.7"
,,"2018","..","1,409.9"
,,"2019","..","1,443.7"
,"Finance and insurance  [52]","2010","1,877.8","1,866.1"
,,"2011","1,950.6","1,913.4"
,,"2012","1,930.9","1,930.9"
,,"2013","1,975.5","1,906.0"
,,"2014","2,053.7","1,887.9"
,,"2015","2,113.9","1,942.6"
,,"2016","2,120.3","2,007.4"
,,"2017","2,229.7","2,107.3"
,,"2018","..","2,128.5"
,,"2019","..","2,187.0"
,"Real estate and rental and leasing  [53]","2010","5,037.9","5,129.1"
,,"2011","5,179.2","5,286.5"
,,"2012","5,439.5","5,439.5"
,,"2013","5,524.2","5,558.6"
,,"2014","5,663.8","5,636.3"
,,"2015","5,834.8","5,741.2"
,,"2016","6,072.8","5,869.2"
,,"2017","6,337.5","6,009.2"
,,"2018","..","6,143.0"
,,"2019","..","6,294.5"
,"Professional, scientific and technical services  [54]","2010","1,286.5","1,320.8"
,,"2011","1,318.1","1,356.4"
,,"2012","1,358.5","1,358.5"
,,"2013","1,420.3","1,405.0"
,,"2014","1,509.2","1,445.2"
,,"2015","1,637.1","1,513.1"
,,"2016","1,639.0","1,548.2"
,,"2017","1,732.0","1,558.1"
,,"2018","..","1,631.3"
,,"2019","..","1,661.4"
,"Management of companies and enterprises  [55]","2010","133.7","130.2"
,,"2011","132.1","133.6"
,,"2012","135.5","135.5"
,,"2013","142.9","135.2"
,,"2014","138.2","124.8"
,,"2015","138.9","124.1"
,,"2016","114.2","105.2"
,,"2017","101.5","97.5"
,,"2018","..","84.0"
,,"2019","..","72.5"
,"Administrative and support, waste management and remediation services  [56]","2010","748.3","767.5"
,,"2011","776.8","780.7"
,,"2012","779.1","779.1"
,,"2013","764.5","737.9"
,,"2014","795.3","756.4"
,,"2015","806.5","764.6"
,,"2016","808.7","735.6"
,,"2017","843.5","740.5"
,,"2018","..","753.5"
,,"2019","..","735.1"
,"Educational services  [61]","2010","2,321.8","2,338.7"
,,"2011","2,383.2","2,392.6"
,,"2012","2,395.0","2,395.0"
,,"2013","2,498.3","2,388.5"
,,"2014","2,566.0","2,409.0"
,,"2015","2,628.5","2,415.1"
,,"2016","2,653.7","2,412.7"
,,"2017","2,682.2","2,420.3"
,,"2018","..","2,458.1"
,,"2019","..","2,505.1"
,"Health care and social assistance  [62]","2010","3,332.3","3,460.4"
,,"2011","3,456.5","3,540.5"
,,"2012","3,561.6","3,561.6"
,,"2013","3,720.8","3,587.6"
,,"2014","3,890.1","3,682.6"
,,"2015","4,010.1","3,666.6"
,,"2016","4,099.1","3,707.4"
,,"2017","4,177.4","3,709.4"
,,"2018","..","3,792.9"
,,"2019","..","3,919.7"
,"Arts, entertainment and recreation  [71]","2010","183.6","201.6"
,,"2011","186.4","200.8"
,,"2012","196.0","196.0"
,,"2013","202.4","190.0"
,,"2014","208.2","199.4"
,,"2015","212.1","199.8"
,,"2016","210.0","206.5"
,,"2017","218.2","212.8"
,,"2018","..","216.1"
,,"2019","..","228.3"
,"Accommodation and food services  [72]","2010","799.4","820.5"
,,"2011","816.9","826.4"
,,"2012","843.2","843.2"
,,"2013","867.5","823.7"
,,"2014","895.1","846.1"
,,"2015","917.0","860.3"
,,"2016","1,016.4","888.9"
,,"2017","1,081.1","920.6"
,,"2018","..","931.7"
,,"2019","..","976.2"
,"Other services (except public administration)  [81]","2010","678.7","710.0"
,,"2011","711.7","735.7"
,,"2012","722.3","722.3"
,,"2013","738.1","731.3"
,,"2014","750.8","739.2"
,,"2015","751.4","726.5"
,,"2016","758.3","725.9"
,,"2017","794.0","752.4"
,,"2018","..","775.1"
,,"2019","..","799.1"
,"Public administration  [91]","2010","4,285.4","4,510.2"
,,"2011","4,507.3","4,615.9"
,,"2012","4,549.7","4,549.7"
,,"2013","4,724.2","4,444.7"
,,"2014","4,768.9","4,415.1"
,,"2015","4,758.7","4,382.7"
,,"2016","4,749.1","4,344.0"
,,"2017","4,937.9","4,356.8"
,,"2018","..","4,455.1"
,,"2019","..","4,553.2"
"New Brunswick","All industries  [T001] 10","2010","27,752.9","29,404.4"
,,"2011","28,908.5","29,467.6"
,,"2012","29,117.4","29,117.4"
,,"2013","29,166.0","29,017.0"
,,"2014","29,650.0","29,039.6"
,,"2015","30,602.6","29,275.7"
,,"2016","31,222.1","29,546.0"
,,"2017","32,456.4","30,243.0"
,,"2018","..","30,381.6"
,,"2019","..","30,720.8"
,"Goods-producing industries  [T002] 11","2010","7,059.2","7,765.6"
,,"2011","7,440.8","7,724.3"
,,"2012","7,398.4","7,398.4"
,,"2013","6,898.0","7,257.6"
,,"2014","6,902.3","7,176.8"
,,"2015","7,527.7","7,411.8"
,,"2016","7,461.3","7,501.1"
,,"2017","7,883.9","7,841.3"
,,"2018","..","7,788.0"
,,"2019","..","7,806.9"
,"Service-producing industries  [T003] 12","2010","20,693.7","21,630.1"
,,"2011","21,467.7","21,734.6"
,,"2012","21,719.0","21,719.0"
,,"2013","22,268.0","21,761.7"
,,"2014","22,747.7","21,866.0"
,,"2015","23,074.9","21,876.6"
,,"2016","23,760.9","22,060.1"
,,"2017","24,572.5","22,430.1"
,,"2018","..","22,617.3"
,,"2019","..","22,934.5"
,"Industrial production  [T010] 13","2010","4,311.4","4,853.6"
,,"2011","4,688.6","4,821.0"
,,"2012","4,627.8","4,627.8"
,,"2013","4,348.0","4,664.7"
,,"2014","4,252.8","4,539.5"
,,"2015","4,694.9","4,669.9"
,,"2016","4,439.7","4,655.6"
,,"2017","4,491.6","4,716.7"
,,"2018","..","4,553.1"
,,"2019","..","4,690.7"
,"Non-durable manufacturing industries  [T011] 14","2010","1,862.4","2,044.2"
,,"2011","1,942.0","1,995.5"
,,"2012","1,931.9","1,931.9"
,,"2013","2,036.7","2,030.4"
,,"2014","1,874.0","1,924.7"
,,"2015","2,419.0","2,046.0"
,,"2016","2,208.2","2,062.1"
,,"2017","2,106.8","2,100.9"
,,"2018","..","1,946.4"
,,"2019","..","1,982.3"
,"Durable manufacturing industries  [T012] 15","2010","924.7","948.9"
,,"2011","930.8","989.2"
,,"2012","977.2","977.2"
,,"2013","907.7","990.5"
,,"2014","938.6","978.6"
,,"2015","858.5","912.5"
,,"2016","911.2","920.4"
,,"2017","968.0","919.6"
,,"2018","..","939.1"
,,"2019","..","962.5"
,"Information and communication technology sector  [T013] 16","2010","945.9","968.8"
,,"2011","1,023.0","1,024.3"
,,"2012","1,017.0","1,017.0"
,,"2013","977.0","948.7"
,,"2014","990.3","963.0"
,,"2015","998.1","980.9"
,,"2016","1,064.8","1,026.5"
,,"2017","1,154.9","1,068.3"
,,"2018","..","1,105.9"
,,"2019","..","1,134.2"
,"Energy sector  [T016] 17","2010","1,454.4","1,770.0"
,,"2011","1,627.5","1,706.1"
,,"2012","1,603.0","1,603.0"
,,"2013","1,680.1","1,731.6"
,,"2014","1,556.0","1,677.1"
,,"2015","1,922.6","1,677.2"
,,"2016","1,700.6","1,686.4"
,,"2017","1,527.8","1,687.1"
,,"2018","..","1,589.1"
,,"2019","..","1,729.2"
,"Public sector  [T018] 18","2010","7,448.1","8,006.8"
,,"2011","7,815.0","8,012.3"
,,"2012","7,987.3","7,987.3"
,,"2013","8,269.6","7,916.8"
,,"2014","8,409.2","7,879.6"
,,"2015","8,441.6","7,818.4"
,,"2016","8,763.7","7,869.6"
,,"2017","8,999.7","7,940.8"
,,"2018","..","8,099.7"
,,"2019","..","8,269.5"
,"Cannabis sector  [T021] 19","2010","57.5","59.5"
,,"2011","60.7","61.9"
,,"2012","68.5","68.5"
,,"2013","73.7","74.3"
,,"2014","74.5","80.2"
,,"2015","75.5","88.2"
,,"2016","75.4","92.6"
,,"2017","68.0","90.7"
,,"2018","..","95.9"
,,"2019","..","87.6"
,"Agriculture, forestry, fishing and hunting  [11]","2010","744.9","822.6"
,,"2011","716.4","783.9"
,,"2012","826.1","826.1"
,,"2013","783.6","847.0"
,,"2014","880.3","899.8"
,,"2015","996.4","959.9"
,,"2016","1,126.6","989.1"
,,"2017","1,249.8","1,022.8"
,,"2018","..","977.9"
,,"2019","..","1,001.7"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","725.4","878.6"
,,"2011","880.8","863.0"
,,"2012","789.6","789.6"
,,"2013","404.8","476.4"
,,"2014","348.3","362.4"
,,"2015","387.3","457.8"
,,"2016","293.6","373.3"
,,"2017","321.5","400.5"
,,"2018","..","377.4"
,,"2019","..","319.0"
,"Utilities  [22]","2010","736.7","915.4"
,,"2011","874.0","916.4"
,,"2012","863.7","863.7"
,,"2013","933.6","1,057.2"
,,"2014","1,023.2","1,168.9"
,,"2015","960.4","1,135.2"
,,"2016","951.6","1,162.8"
,,"2017","1,012.7","1,153.6"
,,"2018","..","1,155.8"
,,"2019","..","1,296.3"
,"Construction  [23]","2010","2,065.0","2,160.8"
,,"2011","2,097.0","2,191.0"
,,"2012","2,009.8","2,009.8"
,,"2013","1,831.7","1,787.6"
,,"2014","1,837.9","1,796.2"
,,"2015","1,906.1","1,838.9"
,,"2016","1,970.1","1,913.4"
,,"2017","2,225.1","2,152.7"
,,"2018","..","2,310.8"
,,"2019","..","2,167.8"
,"Manufacturing  [31-33]","2010","2,787.1","3,002.8"
,,"2011","2,872.7","2,987.9"
,,"2012","2,909.1","2,909.1"
,,"2013","2,944.3","3,027.9"
,,"2014","2,812.5","2,903.0"
,,"2015","3,277.5","2,968.1"
,,"2016","3,119.4","2,990.8"
,,"2017","3,074.9","3,029.3"
,,"2018","..","2,892.4"
,,"2019","..","2,951.6"
,"Wholesale trade  [41]","2010","1,174.0","1,220.1"
,,"2011","1,114.6","1,164.6"
,,"2012","1,068.2","1,068.2"
,,"2013","1,067.3","1,113.0"
,,"2014","1,028.2","1,056.5"
,,"2015","1,019.4","1,029.8"
,,"2016","1,012.4","1,009.5"
,,"2017","1,050.2","1,023.4"
,,"2018","..","983.2"
,,"2019","..","1,030.0"
,"Retail trade  [44-45]","2010","1,857.6","1,777.0"
,,"2011","1,841.5","1,748.4"
,,"2012","1,711.4","1,711.4"
,,"2013","1,735.3","1,789.4"
,,"2014","1,835.0","1,839.5"
,,"2015","1,897.7","1,832.6"
,,"2016","1,906.0","1,845.6"
,,"2017","2,045.9","1,924.5"
,,"2018","..","1,928.2"
,,"2019","..","1,949.9"
,"Transportation and warehousing  [48-49]","2010","1,317.9","1,400.0"
,,"2011","1,339.2","1,387.7"
,,"2012","1,376.0","1,376.0"
,,"2013","1,441.7","1,414.6"
,,"2014","1,492.7","1,439.0"
,,"2015","1,538.8","1,443.3"
,,"2016","1,632.1","1,506.4"
,,"2017","1,713.0","1,581.3"
,,"2018","..","1,487.3"
,,"2019","..","1,505.5"
,"Information and cultural industries  [51]","2010","820.7","854.2"
,,"2011","869.8","873.9"
,,"2012","880.6","880.6"
,,"2013","912.4","858.1"
,,"2014","924.8","862.1"
,,"2015","894.7","857.0"
,,"2016","899.9","867.9"
,,"2017","922.4","872.4"
,,"2018","..","896.4"
,,"2019","..","890.4"
,"Finance and insurance  [52]","2010","1,402.8","1,429.7"
,,"2011","1,487.7","1,467.4"
,,"2012","1,501.4","1,501.4"
,,"2013","1,539.7","1,504.3"
,,"2014","1,631.2","1,516.7"
,,"2015","1,668.2","1,544.7"
,,"2016","1,723.4","1,585.7"
,,"2017","1,858.5","1,675.8"
,,"2018","..","1,682.1"
,,"2019","..","1,698.0"
,"Real estate and rental and leasing  [53]","2010","3,211.0","3,290.1"
,,"2011","3,356.5","3,385.1"
,,"2012","3,499.9","3,499.9"
,,"2013","3,586.8","3,550.1"
,,"2014","3,655.6","3,623.0"
,,"2015","3,767.2","3,694.4"
,,"2016","3,918.4","3,767.1"
,,"2017","4,026.0","3,847.7"
,,"2018","..","3,933.1"
,,"2019","..","3,969.8"
,"Professional, scientific and technical services  [54]","2010","898.1","922.9"
,,"2011","960.3","967.1"
,,"2012","979.7","979.7"
,,"2013","984.5","944.0"
,,"2014","971.1","953.2"
,,"2015","1,007.7","960.8"
,,"2016","1,050.9","953.0"
,,"2017","1,084.0","964.0"
,,"2018","..","1,009.6"
,,"2019","..","1,028.9"
,"Management of companies and enterprises  [55]","2010","122.3","132.5"
,,"2011","140.2","146.7"
,,"2012","143.6","143.6"
,,"2013","144.0","148.3"
,,"2014","139.1","137.0"
,,"2015","134.5","134.0"
,,"2016","111.1","114.2"
,,"2017","99.3","109.5"
,,"2018","..","92.8"
,,"2019","..","75.5"
,"Administrative and support, waste management and remediation services  [56]","2010","1,121.6","1,249.5"
,,"2011","1,193.5","1,202.4"
,,"2012","1,202.1","1,202.1"
,,"2013","1,212.9","1,156.7"
,,"2014","1,265.7","1,188.0"
,,"2015","1,294.8","1,188.3"
,,"2016","1,265.1","1,168.6"
,,"2017","1,244.0","1,104.7"
,,"2018","..","1,093.5"
,,"2019","..","1,069.7"
,"Educational services  [61]","2010","1,713.4","1,811.5"
,,"2011","1,798.8","1,818.0"
,,"2012","1,825.8","1,825.8"
,,"2013","1,868.1","1,823.8"
,,"2014","1,890.5","1,832.1"
,,"2015","1,890.8","1,816.6"
,,"2016","1,996.6","1,828.0"
,,"2017","1,977.9","1,819.0"
,,"2018","..","1,847.8"
,,"2019","..","1,880.8"
,"Health care and social assistance  [62]","2010","2,599.1","2,857.0"
,,"2011","2,706.9","2,833.1"
,,"2012","2,796.5","2,796.5"
,,"2013","2,873.3","2,775.2"
,,"2014","2,927.5","2,766.2"
,,"2015","3,012.9","2,751.7"
,,"2016","3,152.8","2,790.3"
,,"2017","3,228.1","2,816.0"
,,"2018","..","2,865.0"
,,"2019","..","2,953.4"
,"Arts, entertainment and recreation  [71]","2010","197.1","182.3"
,,"2011","197.7","188.8"
,,"2012","191.1","191.1"
,,"2013","180.6","189.6"
,,"2014","175.1","178.8"
,,"2015","152.4","156.0"
,,"2016","153.7","151.8"
,,"2017","162.3","160.1"
,,"2018","..","164.6"
,,"2019","..","167.9"
,"Accommodation and food services  [72]","2010","591.5","608.1"
,,"2011","595.4","607.8"
,,"2012","600.6","600.6"
,,"2013","598.4","584.6"
,,"2014","619.2","595.7"
,,"2015","665.4","637.3"
,,"2016","742.7","651.2"
,,"2017","759.7","643.4"
,,"2018","..","650.5"
,,"2019","..","668.4"
,"Other services (except public administration)  [81]","2010","531.1","553.3"
,,"2011","556.2","568.5"
,,"2012","577.1","577.1"
,,"2013","594.7","591.8"
,,"2014","600.7","592.2"
,,"2015","592.5","574.7"
,,"2016","581.4","561.3"
,,"2017","607.6","580.3"
,,"2018","..","588.1"
,,"2019","..","597.1"
,"Public administration  [91]","2010","3,135.6","3,351.2"
,,"2011","3,309.3","3,380.1"
,,"2012","3,364.9","3,364.9"
,,"2013","3,528.2","3,317.6"
,,"2014","3,591.2","3,282.2"
,,"2015","3,537.9","3,251.0"
,,"2016","3,614.3","3,251.9"
,,"2017","3,793.7","3,305.5"
,,"2018","..","3,386.2"
,,"2019","..","3,434.2"
"Quebec","All industries  [T001] 10","2010","306,664.5","317,802.1"
,,"2011","321,047.4","324,565.7"
,,"2012","328,855.5","328,854.6"
,,"2013","338,213.8","333,047.8"
,,"2014","348,098.5","338,319.0"
,,"2015","357,758.8","341,688.0"
,,"2016","368,634.6","347,197.7"
,,"2017","386,407.5","357,097.0"
,,"2018","..","367,980.1"
,,"2019","..","377,811.3"
,"Goods-producing industries  [T002] 11","2010","87,351.7","88,251.9"
,,"2011","91,784.5","90,847.8"
,,"2012","92,374.4","92,374.5"
,,"2013","92,445.2","91,498.2"
,,"2014","94,169.9","92,900.0"
,,"2015","97,787.2","94,099.2"
,,"2016","98,953.9","94,153.6"
,,"2017","104,648.7","97,677.7"
,,"2018","..","101,505.0"
,,"2019","..","104,003.8"
,"Service-producing industries  [T003] 12","2010","219,312.8","229,578.0"
,,"2011","229,262.9","233,726.4"
,,"2012","236,481.2","236,481.6"
,,"2013","245,768.6","241,571.8"
,,"2014","253,928.6","245,439.8"
,,"2015","259,971.6","247,611.8"
,,"2016","269,680.7","253,049.9"
,,"2017","281,758.7","259,436.6"
,,"2018","..","266,496.6"
,,"2019","..","273,829.3"
,"Industrial production  [T010] 13","2010","61,361.0","61,403.0"
,,"2011","63,971.5","62,859.4"
,,"2012","62,936.4","62,936.3"
,,"2013","63,411.8","62,802.1"
,,"2014","65,350.1","65,533.2"
,,"2015","68,308.6","66,401.5"
,,"2016","69,409.4","66,555.0"
,,"2017","73,250.5","68,699.6"
,,"2018","..","71,593.7"
,,"2019","..","73,189.0"
,"Non-durable manufacturing industries  [T011] 14","2010","20,631.2","20,361.6"
,,"2011","20,093.4","19,691.2"
,,"2012","19,542.9","19,543.0"
,,"2013","18,656.0","18,654.5"
,,"2014","19,440.9","19,524.2"
,,"2015","21,561.4","20,008.7"
,,"2016","22,030.8","20,148.0"
,,"2017","22,196.1","20,298.4"
,,"2018","..","20,616.5"
,,"2019","..","20,794.8"
,"Durable manufacturing industries  [T012] 15","2010","23,921.8","24,537.1"
,,"2011","25,814.5","25,841.5"
,,"2012","26,089.0","26,088.9"
,,"2013","26,450.6","26,103.3"
,,"2014","27,724.1","26,834.2"
,,"2015","28,823.9","26,717.6"
,,"2016","28,722.6","26,344.7"
,,"2017","31,351.5","27,710.4"
,,"2018","..","29,194.4"
,,"2019","..","30,354.1"
,"Information and communication technology sector  [T013] 16","2010","13,965.2","14,517.1"
,,"2011","15,035.7","15,442.9"
,,"2012","15,449.2","15,449.1"
,,"2013","15,766.4","16,341.1"
,,"2014","16,072.8","16,399.2"
,,"2015","16,111.6","16,515.0"
,,"2016","16,793.4","17,223.1"
,,"2017","18,479.6","18,602.8"
,,"2018","..","19,415.5"
,,"2019","..","20,363.7"
,"Energy sector  [T016] 17","2010","12,795.5","11,820.8"
,,"2011","13,084.3","12,016.4"
,,"2012","12,016.6","12,016.6"
,,"2013","12,818.7","12,066.3"
,,"2014","13,503.0","12,463.4"
,,"2015","14,882.8","12,813.5"
,,"2016","14,787.8","12,952.7"
,,"2017","14,240.5","13,033.9"
,,"2018","..","13,316.8"
,,"2019","..","13,305.5"
,"Public sector  [T018] 18","2010","67,216.8","71,689.3"
,,"2011","70,615.4","72,193.8"
,,"2012","72,695.6","72,695.6"
,,"2013","76,278.9","73,559.9"
,,"2014","78,905.5","74,228.6"
,,"2015","81,059.3","74,545.6"
,,"2016","83,855.9","75,603.1"
,,"2017","86,869.5","76,640.8"
,,"2018","..","78,668.8"
,,"2019","..","80,771.1"
,"Cannabis sector  [T021] 19","2010","1,180.2","1,228.1"
,,"2011","1,215.2","1,238.7"
,,"2012","1,299.0","1,299.0"
,,"2013","1,365.8","1,391.7"
,,"2014","1,366.6","1,489.3"
,,"2015","1,368.6","1,626.9"
,,"2016","1,366.8","1,708.4"
,,"2017","1,244.9","1,682.2"
,,"2018","..","1,959.9"
,,"2019","..","2,090.7"
,"Agriculture, forestry, fishing and hunting  [11]","2010","5,510.2","6,142.7"
,,"2011","5,887.3","6,092.9"
,,"2012","6,032.5","6,032.5"
,,"2013","5,897.4","6,546.8"
,,"2014","6,164.1","6,474.5"
,,"2015","6,332.3","6,940.4"
,,"2016","6,405.5","7,168.1"
,,"2017","6,700.4","7,174.4"
,,"2018","..","7,280.4"
,,"2019","..","7,552.3"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","4,536.3","4,600.8"
,,"2011","5,675.8","5,000.7"
,,"2012","4,963.4","4,963.4"
,,"2013","5,089.3","5,570.4"
,,"2014","4,509.3","6,483.4"
,,"2015","3,926.1","7,014.4"
,,"2016","4,434.7","7,072.1"
,,"2017","5,460.2","7,579.8"
,,"2018","..","8,492.5"
,,"2019","..","8,595.8"
,"Utilities  [22]","2010","11,433.1","11,068.5"
,,"2011","11,555.0","11,463.7"
,,"2012","11,415.5","11,415.6"
,,"2013","12,180.6","11,531.3"
,,"2014","12,557.1","11,807.4"
,,"2015","12,853.9","11,982.4"
,,"2016","13,022.8","12,242.0"
,,"2017","12,987.5","12,408.7"
,,"2018","..","12,760.2"
,,"2019","..","12,797.0"
,"Construction  [23]","2010","21,319.1","21,555.5"
,,"2011","22,758.6","22,730.5"
,,"2012","24,330.9","24,331.0"
,,"2013","24,171.4","23,143.3"
,,"2014","23,774.4","21,964.9"
,,"2015","24,289.6","21,865.6"
,,"2016","24,337.5","21,680.8"
,,"2017","25,953.0","23,048.1"
,,"2018","..","23,883.7"
,,"2019","..","24,601.5"
,"Manufacturing  [31-33]","2010","44,553.0","44,898.3"
,,"2011","45,907.9","45,534.0"
,,"2012","45,631.9","45,631.8"
,,"2013","45,106.6","44,738.7"
,,"2014","47,165.1","46,340.1"
,,"2015","50,385.3","46,701.8"
,,"2016","50,753.3","46,467.7"
,,"2017","53,547.6","47,990.8"
,,"2018","..","49,804.1"
,,"2019","..","51,150.7"
,"Wholesale trade  [41]","2010","16,658.0","16,964.7"
,,"2011","17,035.0","17,156.5"
,,"2012","17,066.5","17,066.6"
,,"2013","18,182.5","18,021.6"
,,"2014","19,139.3","18,581.9"
,,"2015","19,268.6","18,113.5"
,,"2016","20,156.3","18,188.6"
,,"2017","21,090.7","18,687.8"
,,"2018","..","19,340.5"
,,"2019","..","20,075.8"
,"Retail trade  [44-45]","2010","17,913.1","18,680.2"
,,"2011","18,172.9","18,789.5"
,,"2012","18,826.6","18,826.6"
,,"2013","19,712.1","19,792.8"
,,"2014","19,888.6","19,815.0"
,,"2015","20,520.0","20,034.1"
,,"2016","21,656.6","20,946.7"
,,"2017","22,350.2","21,238.0"
,,"2018","..","21,747.9"
,,"2019","..","21,828.3"
,"Transportation and warehousing  [48-49]","2010","11,971.5","12,699.7"
,,"2011","12,634.8","13,047.0"
,,"2012","13,198.4","13,198.4"
,,"2013","13,955.0","13,303.5"
,,"2014","14,747.8","13,835.3"
,,"2015","15,215.3","14,182.5"
,,"2016","16,141.8","14,811.4"
,,"2017","17,262.4","15,510.9"
,,"2018","..","16,165.6"
,,"2019","..","16,556.4"
,"Information and cultural industries  [51]","2010","9,976.4","10,267.0"
,,"2011","10,351.6","10,595.2"
,,"2012","10,673.7","10,673.7"
,,"2013","10,465.3","10,735.7"
,,"2014","10,170.4","10,585.9"
,,"2015","10,504.7","10,898.1"
,,"2016","10,615.4","11,106.9"
,,"2017","11,199.7","11,539.0"
,,"2018","..","11,798.2"
,,"2019","..","12,287.7"
,"Finance and insurance  [52]","2010","18,022.0","17,992.6"
,,"2011","18,703.5","18,331.0"
,,"2012","18,625.5","18,625.4"
,,"2013","19,278.1","19,289.7"
,,"2014","20,232.5","19,429.5"
,,"2015","20,922.3","20,330.7"
,,"2016","21,387.2","21,015.2"
,,"2017","23,014.9","22,512.2"
,,"2018","..","23,048.4"
,,"2019","..","23,639.9"
,"Real estate and rental and leasing  [53]","2010","33,308.2","34,381.4"
,,"2011","34,749.3","35,201.9"
,,"2012","36,218.9","36,219.0"
,,"2013","37,407.4","37,171.8"
,,"2014","38,623.0","37,947.7"
,,"2015","40,165.6","38,817.8"
,,"2016","41,709.5","39,594.8"
,,"2017","43,192.4","40,478.5"
,,"2018","..","41,484.3"
,,"2019","..","42,476.4"
,"Professional, scientific and technical services  [54]","2010","16,939.9","18,010.0"
,,"2011","18,414.7","19,035.4"
,,"2012","19,443.4","19,443.4"
,,"2013","20,180.7","19,952.0"
,,"2014","21,098.8","20,599.2"
,,"2015","20,606.1","20,297.0"
,,"2016","21,934.6","21,433.4"
,,"2017","23,370.2","22,211.9"
,,"2018","..","23,144.3"
,,"2019","..","24,516.7"
,"Management of companies and enterprises  [55]","2010","2,109.8","2,338.7"
,,"2011","2,332.4","2,392.0"
,,"2012","2,401.1","2,401.1"
,,"2013","2,506.8","2,601.9"
,,"2014","2,493.4","2,427.4"
,,"2015","2,372.4","2,348.9"
,,"2016","2,072.5","2,030.2"
,,"2017","1,823.3","1,837.0"
,,"2018","..","1,707.5"
,,"2019","..","1,432.2"
,"Administrative and support, waste management and remediation services  [56]","2010","8,643.9","9,180.5"
,,"2011","9,157.6","9,339.9"
,,"2012","9,627.8","9,627.8"
,,"2013","10,044.0","9,765.2"
,,"2014","10,365.8","9,922.6"
,,"2015","10,463.2","9,715.0"
,,"2016","10,655.8","9,694.2"
,,"2017","11,106.5","9,811.9"
,,"2018","..","9,937.2"
,,"2019","..","10,200.6"
,"Educational services  [61]","2010","18,208.2","19,528.7"
,,"2011","19,165.8","19,595.2"
,,"2012","19,759.1","19,759.2"
,,"2013","20,561.4","20,145.0"
,,"2014","21,366.6","20,583.6"
,,"2015","22,063.9","20,735.7"
,,"2016","23,004.0","20,846.9"
,,"2017","23,682.7","21,155.9"
,,"2018","..","21,654.1"
,,"2019","..","22,268.2"
,"Health care and social assistance  [62]","2010","25,382.1","26,791.7"
,,"2011","26,530.1","26,910.2"
,,"2012","27,324.3","27,324.4"
,,"2013","28,830.8","27,781.9"
,,"2014","30,042.1","28,121.6"
,,"2015","31,093.3","28,307.1"
,,"2016","32,290.1","28,880.0"
,,"2017","33,178.2","29,118.3"
,,"2018","..","30,002.1"
,,"2019","..","30,761.9"
,"Arts, entertainment and recreation  [71]","2010","2,684.1","2,879.2"
,,"2011","2,747.2","2,861.6"
,,"2012","2,882.4","2,882.4"
,,"2013","2,861.3","2,875.9"
,,"2014","2,910.6","2,968.1"
,,"2015","2,924.3","2,967.4"
,,"2016","3,104.0","3,056.3"
,,"2017","3,145.6","3,061.6"
,,"2018","..","3,123.1"
,,"2019","..","3,212.6"
,"Accommodation and food services  [72]","2010","6,872.0","7,090.2"
,,"2011","7,042.2","7,182.8"
,,"2012","7,238.0","7,238.0"
,,"2013","7,413.3","7,220.5"
,,"2014","7,625.2","7,628.0"
,,"2015","8,021.7","7,882.9"
,,"2016","8,311.6","8,126.6"
,,"2017","8,810.9","8,282.5"
,,"2018","..","8,587.8"
,,"2019","..","8,792.3"
,"Other services (except public administration)  [81]","2010","6,997.0","7,254.0"
,,"2011","7,306.3","7,449.9"
,,"2012","7,583.2","7,583.2"
,,"2013","7,483.1","7,240.5"
,,"2014","7,727.7","7,419.1"
,,"2015","7,928.2","7,461.2"
,,"2016","8,079.5","7,488.2"
,,"2017","8,522.5","7,747.1"
,,"2018","..","7,840.0"
,,"2019","..","8,100.2"
,"Public administration  [91]","2010","23,626.5","25,518.3"
,,"2011","24,919.5","25,841.2"
,,"2012","25,612.2","25,612.3"
,,"2013","26,886.7","25,696.5"
,,"2014","27,496.8","25,596.7"
,,"2015","27,902.2","25,578.1"
,,"2016","28,561.8","25,948.6"
,,"2017","30,008.6","26,441.6"
,,"2018","..","27,087.6"
,,"2019","..","27,819.4"
"Ontario","All industries  [T001] 10","2010","587,627.9","609,770.3"
,,"2011","616,138.5","625,936.9"
,,"2012","634,945.2","634,944.3"
,,"2013","649,490.1","643,937.0"
,,"2014","676,838.4","659,861.2"
,,"2015","706,836.6","677,384.0"
,,"2016","733,760.7","692,620.8"
,,"2017","764,464.8","711,695.1"
,,"2018","..","732,426.3"
,,"2019","..","747,589.4"
,"Goods-producing industries  [T002] 11","2010","137,270.2","143,547.4"
,,"2011","144,737.6","148,405.9"
,,"2012","150,639.9","150,639.9"
,,"2013","148,878.8","151,292.5"
,,"2014","155,443.2","154,956.4"
,,"2015","165,297.2","160,039.6"
,,"2016","170,097.1","161,917.0"
,,"2017","173,735.3","163,429.7"
,,"2018","..","169,298.2"
,,"2019","..","168,536.7"
